Tweets with hashtags: 55469
First: 2009-12-16 14:12
Last: 2014-10-15 13:10

Unique user: 232
User id, tweet count
-------------------------------------

2422014517, 35769
294836884, 2121
344250379, 1692
91635777, 1674
23603219, 1263
480588828, 1044
897848574, 940
169058033, 750
4802661, 712
1335908677, 603
477884015, 540
121727901, 480
47190844, 434
334865231, 348
1694642108, 284
372314082, 237
267657472, 226
82457546, 201
359502184, 189
1106616253, 187
491731293, 180
452796190, 175
478616778, 166
63753701, 160
30704489, 150
6107462, 149
16188613, 140
414353208, 138
886662481, 135
508648322, 133
456813415, 133
596608838, 130
132158665, 124
161631420, 120
11795602, 117
367114809, 117
38914131, 107
118783780, 105
1705793286, 100
596028604, 99
325779908, 97
116797499, 97
1500436560, 96
111862705, 91
561393178, 85
238223976, 85
187131650, 80
541911186, 79
193439671, 78
333911608, 76
1267285104, 71
327243092, 69
159603970, 67
19486200, 66
234422529, 61
585096918, 59
14262534, 54
882728455, 53
39558817, 52
787633082, 51
233200324, 50
85616569, 48
179620512, 44
1479701, 44
113450488, 41
221354315, 40
143440344, 39
339277569, 39
716376570, 36
2349185180, 35
915409062, 35
279675102, 35
42038687, 34
1926263084, 31
90917897, 31
45300709, 31
290977596, 30
437381348, 30
208052386, 27
106396973, 27
168118644, 26
291174045, 25
610049484, 24
159510985, 24
59049205, 23
100608863, 22
1630836277, 22
231252696, 21
928031485, 20
1052183928, 20
43529341, 18
514326946, 18
928098182, 17
798036192, 17
718127060, 16
806688126, 16
1271996796, 16
313445180, 16
1045773583, 15
759219182, 15
52688658, 15
895744446, 15
709341943, 14
196932279, 13
591771393, 13
185643983, 12
501996490, 12
910768639, 12
391500297, 12
1316785596, 12
86031933, 12
1607301534, 11
96746755, 11
156930527, 10
805413367, 10
614069039, 9
202814964, 9
1282005410, 9
985246316, 8
141631391, 8
438403025, 8
68738913, 8
284572637, 7
377376151, 7
117072875, 7
324584607, 6
53702131, 6
1335138078, 6
47975395, 6
629593772, 6
37681469, 6
228257384, 5
61204916, 5
62056335, 5
114774730, 5
595668257, 5
171020830, 5
835638858, 4
28342606, 4
1063306447, 4
1482156913, 4
401907951, 4
400635601, 4
21753908, 4
83215222, 4
2340562471, 4
1285696112, 4
2163605572, 4
2159231588, 4
368859748, 3
162481009, 3
470517362, 3
71309932, 3
1037957036, 3
75870398, 3
280119910, 3
946365698, 3
631304476, 3
66675223, 3
442033608, 3
5005451, 3
96377541, 3
2445508389, 3
1382347988, 3
2626761574, 3
227117064, 2
2393783620, 2
23422763, 2
2539944462, 2
561165571, 2
316746178, 2
567155037, 2
236736304, 2
768030163, 2
67633111, 2
1889635189, 2
98614380, 2
2387641734, 2
1712004811, 2
484947152, 2
144147303, 2
619444718, 2
612759049, 2
1708045680, 2
35950715, 1
62037060, 1
58039350, 1
64171733, 1
66808865, 1
737486748, 1
67893247, 1
596509251, 1
593954613, 1
1055156594, 1
86167726, 1
87466932, 1
1149163310, 1
1238796481, 1
43652703, 1
38871011, 1
96089262, 1
512270702, 1
96515255, 1
97974643, 1
472843755, 1
100587435, 1
1461648752, 1
454276758, 1
922947151, 1
1531430940, 1
1569886010, 1
1600996968, 1
102672842, 1
